,,,,,,,,,,,,,,,,
,Date   Rec'd,,Company,,City  (County),,#  Affected,,Layoff  Date(s),,Phone  Number,,Union,,WARN  ID,
,5/13/2014,,Ormet,,"Hannibal/
  Monroe",,42,,5/31/2014,,(740)  483‐ 2641,,USW  Local   5724,,015‐ 13‐ 071,
,5/7/2014,,"Believe  to   Achieve 
Academy",,Various,,63,,6/30/2014,,(212)   644‐ 8619,,N/A,,099‐ 13‐ 070,
,5/7/2014,,"Champlain   Enterprises, 
Inc.",,"Cleveland/  
Cuyahoga",,177,,7/8/2014,,(440)  779‐ 4588,,"Airline   Pilots  
Association   (ALPA), 
International  
Association   of   Machinist  
and   Aerospace  Workers 
(IAM)",,003‐ 13‐ 069,
,4/30/2014,,Ford   Motor   Company,,"Walton   Hills/  
Cuyahoga",,261,,6/30/2014,,(216)  587‐ 7854,,United  Auto   Workers,,003‐ 13‐ 068,
,4/25/2014,,Howden,,"New  Philadelphia/
 
Tuscarawas",,90,,6/30/2014,,(330)  308‐ 7000,,"United   Steel,  Paper  and  
Forestry,  Rubber  
Manufacturing,   Energy, 
Allied   Industrial   and  
Service  Workers 
Industrial   Union",,006‐ 13‐ 067,
,4/22/2014,,DecisionOne,,"Grove  City/  
Franklin",,23,,4/11/2014,,(610)  296‐ 2924,,N/A,,011‐ 13‐ 065,
,4/1/2014,,WSI  All   Star,,"Dayton/   Greene
Jefferson/",,88,,5/31/2014,,(561)  472‐ 3620,,Unknown,,007‐ 13‐ 064,
,3/24/2014,,RMC‐ USA,,Ashtabula,,unknown,,5/31/2014,,unknown,,N/A,,019 ‐ 13‐ 061,
,3/21/2014,,Giant   Eagle,,Rossford/   Wood,,93,,5/24/2014,,(216)  591‐ 2729,,N/A,,007‐ 13‐ 063,
,3/21/2014,,Giant   Eagle,,Toledo/   Lucas,,86,,5/24/2014,,(216)  591‐ 2729,,N/A,,009‐ 13‐ 062,
,3/19/2014,,"USEC,  Inc.",,"Piketon/   Pike
Mansfield/",,unknown,,5/19/2014,,(740)  897‐ 2923,,N/A,,001‐ 13‐ 060,
,3/18/2014,,CenturyLink,,Richland,,83,,3/6/2014,,"(318)  683‐
2019",,N/A,,010‐ 13‐ 05 9,
,3/17/2014,,"Beulah   Park  Gaming  
Ventures,  Inc.",,"Grove  City/  
Franklin",,46,,5/1/2014,,(407)  831‐ 1600,,"Seafarers  Entertainment  
and   Allied   Trade  Unions  
(SEATU)",,011‐ 13‐ 058,
,3/11/2014,,"PACS  industries,   Inc.",,Mt.   Vernon/   Knox,,90,,3/7/2014,,(516)  465‐ 7110,,N/A,,007‐ 13‐ 057,
,3/6/2014,,"Consolidated  
Transport   Systems,  Inc.",,Vanlue/   Hancock,,20,,3/31/2014,,(800)  348‐ 8532,,N/A,,007‐ 13‐ 056,
,3/5/2014,,Sid   Tool   Co.,,"Cleveland/  
Cuyahoga",,97,,5/2/2014,,(516)  812‐ 1035,,N/A,,003‐ 13‐ 055,
,3/4/2014,,"Emerson   Network 
Power",,"Delaware/ 
Delaware",,63,,6/30/2014,,(740)  833‐ 8598,,N/A,,007‐ 13‐ 054,
,3/3/2014,,"Gannett   Publishing  
Services",,Newark/  Licking,,74,,5/23/2014,,(740)  349‐ 1171,,GCC/IBT,,007‐ 13‐ 053,
,3/3/2014,,MACtac,,Stow/  Summit,,113,,5/3/2014,,(330)  689‐ 3902,,Teamsters  Local   #348,,002‐ 13‐ 052,
,2/28/2014,,Dots,,"Glenwillow/  
Cuyahoga",,96,,2/28/2014,,(440)  349‐ 7022,,N/A,,003‐ 13‐ 051,
,2/10/2014,,"HDA,  Inc/N‐ Store 
Merchandising",,Various/   Various,,115,,2/3/2014,,(314)   770‐ 2228,,N/A,,099‐ 13‐ 049,
,2/10/2014,,"Millard   Refigerated 
Services",,"Streetsboro/  
Portage",,65,,4/7/2014,,(402)  896‐ 4709,,N/A,,019‐ 13‐ 048,
,2/3/2014,,Verizon,,"Youngstown/  
Mahoning",,160,,3/31/2014,,(330)  965‐ 8118,,N/A,,017‐ 13‐ 047,
,1/29/2014,,Lockheed  Martin   Corp.,,Akron/   Summit,,506,,6/26/2014,,(407)  306‐ 2629,,"United   Auto   Workers, 
Local   856",,002‐ 13‐ 046,
,1/22/2014,,Diversified   Machine,,Edon/   Williams,,82,,3/31/2014,,(419)  272‐ 5326,,"United   Electrical,   Radio  
and   Machine   Workers 
of   America",,007‐ 13‐ 045,
,1/21/2014,,"Catholic   Charities  
Corporation",,Parma/  Cuyahoga,,119,,3/16/2014,,(216)  334‐ 2909,,SEIU  1199,,003‐ 14‐ 044,
,1/20/2014,,"CP  Redi,  LLC",,"Columbus/  
Franklin",,80,,3/28/2014,,(614)  255‐ 0250,,N/A,,011‐ 13‐ 043,
,1/16/2014,,"Schenker,  Inc",,"Circleville/  
Pickaway",,142,,2/9/2014,,(757)  473‐ 2956,,N/A,,020‐ 13‐ 041,
