,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Dat e  R ec 'd,,C om pany,,C i t y   ( C ount y ),,#   A ffec t ed,,L ay off  Dat e( s ),,P hone  N um ber,,Uni on,,WA R N   I D,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 2 / 2 6 / 1 3,,"At o s  IT   So lut io ns  and 
,1 0 / 2 / 1 3,,"Call  He nry ,  Inc .",,"Cle v e land 
( Cuy aho ga)",,9 9,,1 1 / 3 0 / 2 0 1 3,,3 2 1 -2 6 7 -9 8 0 8,,IBE W   L o c al  3 8   and  IAM,,0 0 3 -1 3 -0 2 2,
,9 / 3 0 / 1 3,,JC's  5   St ar  O ut le t,,"Co lum bus 
( Frank lin)   and 
Ak ro n  ( Sum m it )",,2 3 7,,1 1 / 3 0 / 2 0 1 3,,6 1 4 -4 4 9 -6 1 4 3,,N/ A,,0 1 1 -1 3 -0 2 1,
,9 / 2 6 / 1 3,,Capit al  Se nio r  L iv ing,,Cant o n  ( St ark ),,4 3,,1 1 / 3 0 / 2 0 1 3,,9 7 2 -7 7 0 -5 6 0 0,,N/ A,,0 0 6 -1 3 -0 2 0,
,9 / 2 4 / 1 3,,JP M o rgan  Chase,,"Cle v e land 
( Cuy aho ga)",,3 1,,9 / 2 4 / 2 0 1 3,,2 0 1 -5 9 5 -5 2 3 0,,N/ A,,0 0 3 -1 3 -0 1 9,
,9 / 1 9 / 1 3,,M asc o   Cabine t ry,,Jac k so n  ( Jac k so n),,1 8 6,,Unk no w n,,7 4 0 -2 8 6 -7 7 3 1,,N/ A,,0 0 7 -1 3 -0 1 8,
,9 / 1 0 / 1 3,,Aram ark,,"Co lum bus 
( Frank lin)",,7 0,,1 1 / 4 / 2 0 1 3,,2 1 5 -2 3 8 -5 9 2 7,,N/ A,,0 1 1 -1 3 -0 1 7,
,9 / 6 / 1 3,,CL M   P alle t   Re c y c ling,,"Co lum bus 
( Frank lin)",,7 4,,1 1 / 1 / 2 0 1 3,,"3 1 7 -3 5 1 -6 9 1 2  
e x t .  1 0 2",,N/ A,,0 1 1 -1 3 -0 1 6,
,8 / 3 0 / 1 3,,Bank   o f  Am e ric a,,"Be ac hw o o d 
( Cuy aho ga)",,9 9 7,,1 0 / 3 1 / 2 0 1 3,,9 8 0 -3 8 7 -1 5 2 4,,N/ A,,0 0 3 -1 3 -0 1 4,
,8 / 3 0 / 1 3,,Bank   o f  Am e ric a,,"Cinc innat i 
( Ham ilt o n)",,9 8,,1 0 / 3 1 / 2 0 1 3,,9 8 0 -3 8 7 -1 5 2 4,,N/ A,,0 1 3 -1 3 -0 1 3,
,8 / 1 4 / 1 3,,Ge ne ral  D y nam ic s,,"Springbo ro  
( W arre n)",,3 1,,1 0 / 1 4 / 2 0 1 3,,8 0 2 -2 3 8 -5 5 1 3,,L o c al  1 4 1,,0 1 2 -1 3 -0 1 2,
